Sample description: DMPC_25_200
Sample: DMPC_25_200  c= 1 mg/ml  Code: DMPC_25_200_water
Parent(s): analysis/processed/subtracted/DMPC_25_200_water_0432_sub.dat
  1.118710e+00   1.498268e+02   2.334076e+00
  1.121460e+00   1.467394e+02   2.312524e+00
  1.124220e+00   1.439787e+02   2.307164e+00
  1.126980e+00   1.479201e+02   2.321044e+00
  1.129740e+00   1.464529e+02   2.302620e+00
  1.132500e+00   1.458663e+02   2.301213e+00
  1.135260e+00   1.418019e+02   2.294610e+00
  1.138020e+00   1.424346e+02   2.289104e+00
  1.140780e+00   1.414471e+02   2.281280e+00
  1.143540e+00   1.410350e+02   2.281467e+00
  1.146300e+00   1.354893e+02   2.274517e+00
  1.149060e+00   1.344380e+02   2.244444e+00
  1.151820e+00   1.334743e+02   2.236185e+00
  1.154580e+00   1.341328e+02   2.242896e+00
  1.157330e+00   1.330785e+02   2.255557e+00
  1.160090e+00   1.332339e+02   2.261594e+00
  1.162850e+00   1.320622e+02   2.233806e+00
  1.165610e+00   1.300676e+02   2.224693e+00
  1.168370e+00   1.311112e+02   2.230920e+00
  1.171130e+00   1.254845e+02   2.214070e+00
  1.173890e+00   1.313049e+02   2.223496e+00
  1.176650e+00   1.269421e+02   2.222079e+00
  1.179410e+00   1.258231e+02   2.201871e+00
  1.182170e+00   1.241739e+02   2.198806e+00
  1.184930e+00   1.253893e+02   2.196614e+00
  1.187690e+00   1.256577e+02   2.195227e+00
  1.190450e+00   1.213980e+02   2.179853e+00
  1.193210e+00   1.250021e+02   2.188375e+00
  1.195960e+00   1.208621e+02   2.169057e+00
  1.198720e+00   1.206893e+02   2.174223e+00
  1.201480e+00   1.199468e+02   2.150714e+00
  1.204240e+00   1.204997e+02   2.167840e+00
  1.207000e+00   1.179621e+02   2.146837e+00
  1.209760e+00   1.224609e+02   2.170219e+00
  1.212520e+00   1.189402e+02   2.140222e+00
  1.215280e+00   1.201069e+02   2.142904e+00
  1.218040e+00   1.202855e+02   2.151943e+00
  1.220800e+00   1.191212e+02   2.118505e+00
  1.223560e+00   1.179671e+02   2.136535e+00
  1.226320e+00   1.203051e+02   2.140590e+00
  1.229080e+00   1.200455e+02   2.129211e+00
  1.231840e+00   1.176844e+02   2.133039e+00
  1.234590e+00   1.173314e+02   2.109672e+00
  1.237350e+00   1.134621e+02   2.108038e+00
  1.240110e+00   1.174451e+02   2.118678e+00
  1.242870e+00   1.157336e+02   2.116367e+00
  1.245630e+00   1.080799e+02   2.120672e+00
  1.248390e+00   1.104660e+02   2.087713e+00
  1.251150e+00   1.165078e+02   2.108001e+00
  1.253910e+00   1.145612e+02   2.100784e+00
  1.256670e+00   1.128352e+02   2.103198e+00
  1.259430e+00   1.103209e+02   2.099638e+00
  1.262190e+00   1.105904e+02   2.084608e+00
  1.264950e+00   1.124031e+02   2.104333e+00
  1.267710e+00   1.111908e+02   2.068619e+00
  1.270470e+00   1.089368e+02   2.071828e+00
  1.273220e+00   1.112654e+02   2.083894e+00
  1.275980e+00   1.112959e+02   2.076107e+00
  1.278740e+00   1.129304e+02   2.085405e+00
  1.281500e+00   1.107537e+02   2.069523e+00
  1.284260e+00   1.103506e+02   2.065080e+00
  1.287020e+00   1.097060e+02   2.060270e+00
  1.289780e+00   1.088028e+02   2.052717e+00
  1.292540e+00   1.105859e+02   2.069549e+00
