No  scale pct2_054.dat pct2_054.dat                                             
  0.979624E+00  0.112485E+04  0.666416E+01
  0.981814E+00  0.112054E+04  0.663504E+01
  0.984004E+00  0.111975E+04  0.666288E+01
  0.986195E+00  0.111401E+04  0.661552E+01
  0.988385E+00  0.111110E+04  0.663876E+01
  0.990576E+00  0.110300E+04  0.663084E+01
  0.992766E+00  0.109997E+04  0.657216E+01
  0.994956E+00  0.109780E+04  0.662456E+01
  0.997147E+00  0.109393E+04  0.654856E+01
  0.999337E+00  0.108533E+04  0.658472E+01
  0.100153E+01  0.107995E+04  0.653984E+01
  0.100372E+01  0.108039E+04  0.653892E+01
  0.100591E+01  0.107418E+04  0.655788E+01
  0.100810E+01  0.106795E+04  0.648832E+01
  0.101029E+01  0.106301E+04  0.653376E+01
  0.101248E+01  0.106037E+04  0.650892E+01
  0.101467E+01  0.105254E+04  0.647320E+01
  0.101686E+01  0.104654E+04  0.650048E+01
  0.101905E+01  0.104279E+04  0.644952E+01
  0.102124E+01  0.104068E+04  0.647780E+01
  0.102343E+01  0.103630E+04  0.640596E+01
  0.102562E+01  0.103451E+04  0.643444E+01
  0.102781E+01  0.102843E+04  0.643568E+01
  0.103000E+01  0.102710E+04  0.640972E+01
  0.103219E+01  0.101760E+04  0.643120E+01
  0.103438E+01  0.101362E+04  0.634788E+01
  0.103657E+01  0.100673E+04  0.638664E+01
  0.103876E+01  0.100432E+04  0.636564E+01
  0.104096E+01  0.100361E+04  0.635924E+01
  0.104315E+01  0.996386E+03  0.636812E+01
  0.104534E+01  0.990744E+03  0.630060E+01
  0.104753E+01  0.987028E+03  0.633220E+01
  0.104972E+01  0.982203E+03  0.630320E+01
  0.105191E+01  0.972522E+03  0.628692E+01
  0.105410E+01  0.973758E+03  0.630292E+01
  0.105629E+01  0.969647E+03  0.626152E+01
  0.105848E+01  0.964639E+03  0.631980E+01
  0.106067E+01  0.958244E+03  0.622892E+01
  0.106286E+01  0.956822E+03  0.626724E+01
  0.106505E+01  0.950519E+03  0.624356E+01
  0.106724E+01  0.948347E+03  0.621868E+01
  0.106943E+01  0.942236E+03  0.625060E+01
  0.107162E+01  0.942164E+03  0.619004E+01
  0.107381E+01  0.936586E+03  0.619632E+01
  0.107600E+01  0.932658E+03  0.618504E+01
  0.107819E+01  0.928044E+03  0.619008E+01
  0.108038E+01  0.924781E+03  0.619656E+01
  0.108257E+01  0.920597E+03  0.614408E+01
  0.108476E+01  0.915656E+03  0.617832E+01
  0.108695E+01  0.910011E+03  0.612412E+01
  0.108914E+01  0.908986E+03  0.612228E+01
  0.109133E+01  0.901042E+03  0.613548E+01
  0.109352E+01  0.902869E+03  0.610084E+01
  0.109572E+01  0.895831E+03  0.613336E+01
  0.109791E+01  0.888869E+03  0.608672E+01
  0.110010E+01  0.885425E+03  0.608916E+01
  0.110229E+01  0.883886E+03  0.607844E+01
