Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  1.164850e+00   9.717461e+01   1.140471e+01
  1.167620e+00   8.097243e+01   1.134223e+01
  1.170380e+00   8.631751e+01   1.130614e+01
  1.173150e+00   8.123268e+01   1.134570e+01
  1.175910e+00   5.790798e+01   1.132906e+01
  1.178670e+00   7.405953e+01   1.127455e+01
  1.181440e+00   7.315089e+01   1.129775e+01
  1.184200e+00   6.146388e+01   1.124896e+01
  1.186970e+00   7.323460e+01   1.129920e+01
  1.189730e+00   7.563872e+01   1.120187e+01
  1.192500e+00   6.973579e+01   1.122407e+01
  1.195260e+00   5.187069e+01   1.120406e+01
  1.198020e+00   4.672947e+01   1.122963e+01
  1.200790e+00   3.783995e+01   1.114547e+01
  1.203550e+00   7.890915e+01   1.115733e+01
  1.206320e+00   5.736531e+01   1.118213e+01
  1.209080e+00   6.668026e+01   1.108317e+01
  1.211840e+00   5.378788e+01   1.116091e+01
  1.214610e+00   5.354011e+01   1.105772e+01
  1.217370e+00   3.952369e+01   1.116181e+01
  1.220140e+00   6.902377e+01   1.105105e+01
  1.222900e+00   4.198602e+01   1.105759e+01
  1.225670e+00   4.462009e+01   1.098033e+01
  1.228430e+00   3.131140e+01   1.097887e+01
  1.231190e+00   5.121421e+01   1.104618e+01
  1.233960e+00   4.595502e+01   1.094510e+01
  1.236720e+00   3.612109e+01   1.092106e+01
  1.239490e+00   4.128389e+01   1.089485e+01
  1.242250e+00   2.350211e+01   1.089552e+01
  1.245020e+00   5.997548e+01   1.094137e+01
  1.247780e+00   5.601888e+01   1.087351e+01
  1.250540e+00   5.960635e+01   1.087723e+01
  1.253310e+00   5.995854e+01   1.086104e+01
  1.256070e+00   7.010580e+01   1.088146e+01
  1.258840e+00   4.518729e+01   1.080910e+01
  1.261600e+00   4.158150e+01   1.078611e+01
  1.264370e+00   6.164774e+01   1.089195e+01
  1.267130e+00   4.821046e+01   1.079411e+01
  1.269890e+00   8.005180e+01   1.088251e+01
  1.272660e+00   4.863591e+01   1.075178e+01
  1.275420e+00   8.570834e+01   1.085537e+01
  1.278190e+00   6.457715e+01   1.080654e+01
  1.280950e+00   8.135872e+01   1.081079e+01
  1.283710e+00   7.750834e+01   1.084245e+01
  1.286480e+00   1.167130e+02   1.075627e+01
  1.289240e+00   7.184591e+01   1.080221e+01
  1.292010e+00   8.185059e+01   1.079402e+01
  1.294770e+00   1.071522e+02   1.071210e+01
  1.297540e+00   9.017875e+01   1.077189e+01
  1.300300e+00   1.196809e+02   1.071563e+01
  1.303060e+00   1.172298e+02   1.075515e+01
  1.305830e+00   1.083910e+02   1.077134e+01
  1.308590e+00   1.089965e+02   1.064716e+01
  1.311360e+00   1.074175e+02   1.072494e+01
  1.314120e+00   1.168193e+02   1.065318e+01
  1.316890e+00   1.326148e+02   1.070559e+01
  1.319650e+00   1.281408e+02   1.066680e+01
  1.322410e+00   1.003627e+02   1.061180e+01
  1.325180e+00   1.252575e+02   1.071242e+01
  1.327940e+00   1.326537e+02   1.059883e+01
  1.330710e+00   1.563142e+02   1.065041e+01
  1.333470e+00   1.565432e+02   1.062029e+01
  1.336240e+00   1.561262e+02   1.061225e+01
  1.339000e+00   1.639334e+02   1.065688e+01
  1.341760e+00   1.584637e+02   1.054104e+01
  1.344530e+00   1.741686e+02   1.059445e+01
  1.347290e+00   1.540783e+02   1.057130e+01
  1.350060e+00   1.635895e+02   1.057843e+01
  1.352820e+00   1.661743e+02   1.053832e+01
  1.355580e+00   1.601762e+02   1.051737e+01
  1.358350e+00   1.888188e+02   1.057930e+01
  1.361110e+00   1.826662e+02   1.050365e+01
  1.363880e+00   1.842731e+02   1.053517e+01
  1.366640e+00   1.839564e+02   1.048099e+01
  1.369410e+00   1.803076e+02   1.054388e+01
  1.372170e+00   1.838614e+02   1.048469e+01
  1.374930e+00   1.911273e+02   1.047117e+01
  1.377700e+00   1.923602e+02   1.051570e+01
  1.380460e+00   2.165560e+02   1.039897e+01
  1.383230e+00   2.132804e+02   1.050708e+01
  1.385990e+00   2.148892e+02   1.047037e+01
  1.388760e+00   2.152219e+02   1.038093e+01
  1.391520e+00   2.204369e+02   1.064507e+01
  1.394280e+00   2.072181e+02   1.065185e+01
  1.397050e+00   2.315206e+02   1.085396e+01
  1.399810e+00   2.196113e+02   1.079489e+01
  1.402580e+00   2.183782e+02   1.090813e+01
  1.405340e+00   2.189931e+02   1.100885e+01
